The Relevant Element,,,,
,,,,
TIME RELEVANCE,,,,
,,,,
Relevant Today,,,,
Relevant This Week,,,,
Relevant This Month,,,,
Relevant This Season,Christmas,Thanksgiving,Valentine's Day,Holidays that may impact many days or months
Relevant This Year,,,,
,,,,
GEOGRAPHICAL RELEVANCE,,,,
,,,,
"Pella, Iowa",,,,
"Oskaloosa, Iowa",,,,
"Knoxville, Iowa",,,,
"Ottumwa, Iowa",,,,
"Marion County, Iowa",,,,
"Mahaska County, Iowa",,,,
South Central Iowa,,,,
Central Iowa,,,,
"Des Moines, Iowa",,,,
Iowa,,,,
Midwest United States,,,,
United States,,,,
North America,,,,
,,,,
OTHER RELEVANCE,,,,
,,,,
Music Artist Related,,,,
,,,,
GENERAL CATEGORIES,,,,
,,,,
Family,,,,
Church,,,,
Community,,,,
Politics,,,,
School,,,,
Technology,,,,
Science,,,,
History,,,,
Life,,,,
Money,,,,
Sports,,,,
Travel,,,,
Health,,,,
Entertainment,,,,
Music,,,,
Fashion,,,,
,,,,
KEY WORDS,,,,
,,,,
Jesus,,,,
God,,,,
Holy Spirit,,,,
Hope,,,,
Uplifting,,,,
Positive,,,,
Family,,,,
Friends,,,,
Safe,,,,
Generosity,,,,
Helping,,,,
Kids,,,,
Learning,,,,
Perspective,,,,
Honesty,,,,
Integrity,,,,
Love,,,,
Belief,,,,
Redemption,,,,
Forgiveness,,,,
Grace,,,,
Freedom,,,,
Fulfillment,,,,
Contentment,,,,
Salvation,,,,
Teaching,,,,
Story,,,,
,,,,
KEY PHRASES,,,,
,,,,
Loving better,,,,
Living better,,,,
Teach me how,,,,
Giving back,,,,
Family on vacation,,,,
Finding hope,,,,
The greatest story ever told,,,,
Where hope shines,,,,